Date,Open,High,Low,Close
31/12/2024,0.3839,0.3855,0.3839,0.3841
30/12/2024,0.3841,0.3841,0.3841,0.3854
27/12/2024,0.3852,0.3852,0.3852,0.3797
26/12/2024,0.3861,0.3861,0.3797,0.3859
25/12/2024,0.3861,0.3861,0.3797,0.3859
24/12/2024,0.3861,0.3861,0.3859,0.3859
23/12/2024,0.3862,0.3862,0.3859,0.3868
20/12/2024,0.3858,0.3869,0.3858,0.3839
19/12/2024,0.38,0.3839,0.38,0.3806
18/12/2024,0.3811,0.3811,0.3806,0.3805
17/12/2024,0.3824,0.3824,0.3811,0.3827
16/12/2024,0.384,0.384,0.3827,0.3827
13/12/2024,0.3807,0.3828,0.3807,0.3799
12/12/2024,0.379,0.3799,0.379,0.38
11/12/2024,0.3788,0.38,0.3788,0.3794
10/12/2024,0.379,0.3794,0.379,0.3791
09/12/2024,0.3786,0.3789,0.3786,0.3789
06/12/2024,0.3808,0.3808,0.3788,0.3802
05/12/2024,0.3814,0.3814,0.3802,0.3814
04/12/2024,0.3843,0.3843,0.3814,0.385
03/12/2024,0.3814,0.385,0.3814,0.381
02/12/2024,0.3802,0.381,0.3802,0.3812
29/11/2024,0.3813,0.3813,0.381,0.3821
28/11/2024,0.3829,0.3829,0.3821,0.3836
27/11/2024,0.3838,0.3838,0.3836,0.385
26/11/2024,0.3853,0.3853,0.385,0.3852
25/11/2024,0.3864,0.3864,0.3852,0.3867
22/11/2024,0.3826,0.3865,0.3826,0.383
21/11/2024,0.3821,0.383,0.3821,0.3819
20/11/2024,0.3827,0.3827,0.3819,0.383
19/11/2024,0.3835,0.3835,0.383,0.3838
18/11/2024,0.3817,0.3832,0.3817,0.3813
15/11/2024,0.3822,0.3822,0.3814,0.3824
14/11/2024,0.3784,0.3824,0.3782,0.3794
13/11/2024,0.3799,0.3799,0.3794,0.3773
12/11/2024,0.3758,0.3773,0.3758,0.3756
11/11/2024,0.3726,0.3756,0.3726,0.3733
08/11/2024,0.3742,0.3742,0.3733,0.3744
07/11/2024,0.3759,0.3759,0.3744,0.3764
06/11/2024,0.3764,0.3764,0.3764,0.3728
05/11/2024,0.3728,0.3728,0.3728,0.3732
04/11/2024,0.3739,0.3739,0.3732,0.3748
01/11/2024,0.3759,0.3759,0.3747,0.3732
31/10/2024,0.3748,0.3748,0.3732,0.3733
30/10/2024,0.3728,0.3733,0.3728,0.3728
29/10/2024,0.3731,0.3731,0.3728,0.3728
28/10/2024,0.3728,0.3728,0.3728,0.3728
25/10/2024,0.3741,0.3741,0.3729,0.3731
24/10/2024,0.3749,0.3749,0.3731,0.3732
23/10/2024,0.372,0.3732,0.372,0.3731
22/10/2024,0.372,0.3731,0.372,0.3719
21/10/2024,0.3719,0.3719,0.3719,0.3712
18/10/2024,0.3709,0.3711,0.3709,0.3722
17/10/2024,0.3719,0.3722,0.3719,0.3721
16/10/2024,0.3701,0.3721,0.3701,0.3703
15/10/2024,0.3701,0.3703,0.3701,0.3711
14/10/2024,0.3706,0.3711,0.3706,0.3707
