Date,Open,High,Low,Close
29-Aug-25,0.3696,0.3713,0.3694,0.3697
29-Aug-25,0.3611,0.3611,0.3611,0.36
28-Aug-25,0.3594,0.3594,0.3594,0.3619
27-Aug-25,0.3604,0.3619,0.3604,0.3607
26-Aug-25,0.3593,0.3604,0.3593,0.3602
25-Aug-25,0.3633,0.3633,0.3602,0.3625
22-Aug-25,0.3612,0.3625,0.3612,0.3612
21-Aug-25,0.3612,0.3612,0.3612,0.3616
20-Aug-25,0.3603,0.3603,0.3603,0.3586
19-Aug-25,0.3586,0.3586,0.3586,0.3582
18-Aug-25,0.3582,0.3582,0.3582,0.3576
15-Aug-25,0.3577,0.3577,0.3577,0.3571
14-Aug-25,0.3571,0.3571,0.3571,0.3572
13-Aug-25,0.3572,0.3572,0.3572,0.3603
12-Aug-25,0.3601,0.3603,0.3601,0.3607
11-Aug-25,0.3611,0.3611,0.3607,0.3608
08-Aug-25,0.3609,0.3609,0.3609,0.3609
07-Aug-25,0.3647,0.3647,0.3609,0.3639
06-Aug-25,0.3639,0.3639,0.3639,0.3651
05-Aug-25,0.3646,0.3651,0.3646,0.3646
04-Aug-25,0.3702,0.3702,0.3646,0.3682
01-Aug-25,0.3682,0.3682,0.3682,0.3665
31-Jul-25,0.3665,0.3665,0.3665,0.3627
30-Jul-25,0.3627,0.3627,0.3627,0.3629
29-Jul-25,0.3629,0.3629,0.3629,0.3614
28-Jul-25,0.3619,0.3619,0.3614,0.3604
25-Jul-25,0.3593,0.3604,0.3593,0.3583
24-Jul-25,0.3586,0.3586,0.3583,0.3584
23-Jul-25,0.3599,0.3599,0.3584,0.3598
22-Jul-25,0.361,0.361,0.3598,0.3605
21-Jul-25,0.3612,0.3612,0.3605,0.3605
18-Jul-25,0.3622,0.3622,0.3607,0.3618
17-Jul-25,0.3621,0.3621,0.3619,0.3617
16-Jul-25,0.3598,0.3617,0.3598,0.3604
15-Jul-25,0.3603,0.3604,0.3603,0.3596
14-Jul-25,0.3596,0.3596,0.3596,0.3584
11-Jul-25,0.3584,0.3584,0.3584,0.3567
10-Jul-25,0.3576,0.3576,0.3567,0.3571
09-Jul-25,0.3566,0.3571,0.3566,0.3573
08-Jul-25,0.3564,0.3573,0.3564,0.3566
07-Jul-25,0.3555,0.3566,0.3555,0.3554
04-Jul-25,0.3542,0.3554,0.3542,0.3552
03-Jul-25,0.3552,0.3552,0.3552,0.3562
02-Jul-25,0.3527,0.3539,0.3527,0.3522
01-Jul-25,0.3522,0.3522,0.3522,0.354
30-Jun-25,0.3537,0.354,0.3537,0.3534
27-Jun-25,0.3525,0.3533,0.3525,0.353
26-Jun-25,0.3566,0.3566,0.3532,0.3564
25-Jun-25,0.3564,0.3564,0.3564,0.3564
24-Jun-25,0.3621,0.3621,0.3564,0.3624
23-Jun-25,0.3601,0.3624,0.3601,0.3592
20-Jun-25,0.3591,0.3591,0.3591,0.3612
19-Jun-25,0.3614,0.3614,0.3612,0.3606
18-Jun-25,0.3606,0.3606,0.3606,0.3574
17-Jun-25,0.3574,0.3574,0.3574,0.357
16-Jun-25,0.3588,0.3589,0.357,0.3566
13-Jun-25,0.3563,0.3581,0.3563,0.357
12-Jun-25,0.3595,0.3595,0.357,0.3592
11-Jun-25,0.3592,0.3592,0.3592,0.3593
10-Jun-25,0.3593,0.3593,0.3593,0.3576
09-Jun-25,0.3576,0.3576,0.3576,0.3578
06-Jun-25,0.3578,0.3578,0.3578,0.3571
05-Jun-25,0.3571,0.3571,0.3571,0.3585
04-Jun-25,0.3579,0.3585,0.3579,0.3578
03-Jun-25,0.3587,0.3588,0.3587,0.3583
02-Jun-25,0.3606,0.3606,0.3583,0.3608
30-May-25,0.3597,0.3597,0.3597,0.3597
29-May-25,0.3597,0.3597,0.3597,0.3592
28-May-25,0.3583,0.3592,0.3583,0.358
27-May-25,0.3574,0.358,0.3574,0.3574
26-May-25,0.3589,0.3589,0.3574,0.3592
23-May-25,0.3591,0.3591,0.3591,0.3617
22-May-25,0.3607,0.3617,0.3607,0.3614
21-May-25,0.363,0.363,0.3614,0.3627
20-May-25,0.3612,0.3627,0.3612,0.362
19-May-25,0.362,0.362,0.362,0.3639
16-May-25,0.3645,0.3645,0.3645,0.3645
15-May-25,0.3645,0.3645,0.3645,0.3631
14-May-25,0.3631,0.3631,0.3631,0.3669
13-May-25,0.3684,0.3684,0.3669,0.3687
12-May-25,0.3687,0.3687,0.3687,0.3652
09-May-25,0.365,0.365,0.365,0.3641
08-May-25,0.3641,0.3641,0.3641,0.363
07-May-25,0.363,0.363,0.363,0.3628
06-May-25,0.3628,0.3628,0.3628,0.3641
05-May-25,0.3641,0.3641,0.3641,0.3648
02-May-25,0.3645,0.3645,0.3645,0.3627
01-May-25,0.3627,0.3627,0.3627,0.3629
30-Apr-25,0.3646,0.3646,0.3629,0.3649
29-Apr-25,0.3626,0.3649,0.3626,0.3634
28-Apr-25,0.3647,0.3647,0.3634,0.3641
25-Apr-25,0.3632,0.3641,0.3632,0.3643
24-Apr-25,0.3632,0.3643,0.3632,0.3644
23-Apr-25,0.3615,0.3644,0.3615,0.3626
22-Apr-25,0.3626,0.3626,0.3626,0.3665
17-Apr-25,0.3672,0.3672,0.3665,0.3656
16-Apr-25,0.3656,0.3656,0.3656,0.3661
15-Apr-25,0.3661,0.3661,0.3661,0.3673
14-Apr-25,0.3673,0.3673,0.3673,0.3706
11-Apr-25,0.3798,0.3798,0.3708,0.3746
10-Apr-25,0.3755,0.3755,0.3746,0.3782
09-Apr-25,0.3809,0.3809,0.3782,0.3795
08-Apr-25,0.3792,0.3795,0.3792,0.3777
07-Apr-25,0.3777,0.3777,0.3777,0.3725
04-Apr-25,0.37,0.3731,0.37,0.3683
03-Apr-25,0.3746,0.3746,0.3683,0.3744
02-Apr-25,0.3747,0.3747,0.3744,0.3748
01-Apr-25,0.3748,0.3748,0.3748,0.3741
31-Mar-25,0.376,0.376,0.3741,0.3745
28-Mar-25,0.3742,0.3744,0.3742,0.3743
27-Mar-25,0.3744,0.3744,0.3743,0.3754
26-Mar-25,0.3732,0.3754,0.3732,0.374
25-Mar-25,0.3737,0.374,0.3737,0.3738
24-Mar-25,0.3738,0.3738,0.3738,0.374
21-Mar-25,0.3736,0.374,0.3736,0.3734
20-Mar-25,0.3724,0.3734,0.3724,0.3733
19-Mar-25,0.3734,0.3734,0.3733,0.3735
18-Mar-25,0.3735,0.3735,0.3735,0.3733
