Year,Month number,UK Tourist arrivals,Month
2022,1,28974,January
2022,2,31035,February
2022,3,31437,March
2022,4,17497,April
2022,5,12247,May
2022,6,10012,June
2022,7,11581,July
2022,8,10484,August
2022,9,9720,September
2022,10,12766,October
2022,11,26023,November
2022,12,32734,December
2023,1,33633,January
2023,2,32799,February
2023,3,31318,March
2023,4,14622,April
2023,5,15427,May
2023,6,8922,June
2023,7,11697,July
2023,8,10975,August
2023,9,8660,September
2023,10,13256,October
2023,11,30908,November
2023,12,31640,December
2024,1,32677,January
2024,2,32448,February
2024,3,32443,March
2024,4,15286,April
2024,5,12885,May
2024,6,10366,June
2024,7,10463,July
2024,8,9707,August
2024,9,8714,September
2024,10,14274,October
2024,11,27659,November
2024,12,32123,December
